,Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
120,RD Berrington (SCOT),2008-2019,61,37,81.2,0,609,27,3/17,22.55,7.48,18.0,0,0
121,CA Young (IRE),2015-2020,32,30,92.0,1,750,27,4/13,27.77,8.15,20.4,1,0
122,MC Sorensen (IRE),2012-2016,26,22,65.0,2,471,26,3/17,18.11,7.24,15.0,0,0
123,KJ Abbott (SA),2013-2016,21,21,72.4,0,579,26,3/20,22.26,7.96,16.7,0,0
124,Sompal Kami (NEPAL),2014-2019,28,28,90.0,1,644,26,3/23,24.76,7.15,20.7,0,0
125,GJ Maxwell (AUS),2012-2019,61,40,94.0,0,704,26,3/10,27.07,7.48,21.6,0,0
126,P Utseya (ZIM),2006-2015,35,35,124.5,2,858,26,3/25,33.00,6.87,28.8,0,0
127,JA Morkel (SA),2005-2015,50,46,107.5,2,864,26,3/12,33.23,8.01,24.8,0,0
128,AD Russell (WI),2011-2020,49,42,107.1,0,974,26,2/10,37.46,9.08,24.7,0,0
129,B Regmi (NEPAL),2014-2019,18,18,62.1,0,405,25,4/16,16.20,6.51,14.9,1,0
130,Mujeeb Ur Rahman (AFG),2018-2020,19,19,72.0,0,443,25,4/15,17.72,6.15,17.2,1,0
131,Pavandeep Singh (MAL),2019-2020,19,19,68.1,1,455,25,3/12,18.20,6.67,16.3,0,0
132,Aamir Kaleem (OMAN),2015-2020,28,23,65.0,0,462,25,5/15,18.48,7.10,15.6,2,1
133,AC Agar (AUS),2016-2020,24,24,79.0,1,532,25,5/24,21.28,6.73,18.9,0,1
134,AF Milne (NZ),2010-2018,21,21,72.5,1,541,25,4/37,21.64,7.42,17.4,1,0
135,SE Bond (NZ),2005-2010,20,20,77.3,2,543,25,3/18,21.72,7.00,18.6,0,0
136,Nadeem Ahmed (HKG),2014-2017,24,24,82.3,3,546,25,4/21,21.84,6.61,19.8,1,0
137,SMSM Senanayake (SL),2012-2016,24,23,81.0,0,549,25,4/46,21.96,6.77,19.4,1,0
138,TL Chatara (ZIM),2010-2019,21,21,75.0,1,591,25,3/20,23.64,7.88,18.0,0,0
139,LE Plunkett (ENG),2006-2019,22,22,79.2,1,627,25,3/21,25.08,7.90,19.0,0,0
140,Harbhajan Singh (INDIA),2006-2016,28,27,102.0,5,633,25,4/12,25.32,6.20,24.4,1,0
