,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St
40,PD Salt,2019-2020,7,7,0,119,46,17.00,92,129.34,0,0,0,18,1,PD Salt,2019-2020,7,-,-,-,-,-,-,-,-,-,-,-,3,0
41,Shadab Khan,2017-2020,41,32,6,438,77,16.84,326,134.35,0,3,4,22,24,Shadab Khan,2017-2020,41,41,145.4,0,1043,37,3/13,28.18,7.16,23.6,0,0,15,0
42,Sharjeel Khan,2016-2017,12,12,1,300,117,27.27,205,146.34,1,1,0,27,19,Sharjeel Khan,2016-2017,12,-,-,-,-,-,-,-,-,-,-,-,4,0
43,DR Smith,2016-2017,13,13,2,427,73,38.81,385,110.90,0,4,1,45,15,DR Smith,2016-2017,13,3,4.0,0,45,0,-,-,11.25,-,0,0,5,0
44,DW Steyn,2020-2020,4,-,-,-,-,-,-,-,-,-,-,-,-,DW Steyn,2020-2020,4,4,11.0,1,84,2,1/18,42.00,7.63,33.0,0,0,0,0
45,Umar Amin,2016-2016,2,2,0,4,4,2.00,10,40.00,0,0,1,0,0,Umar Amin,2016-2016,2,-,-,-,-,-,-,-,-,-,-,-,0,0
46,CAK Walton,2018-2019,9,9,0,186,48,20.66,130,143.07,0,0,2,15,10,CAK Walton,2018-2019,9,-,-,-,-,-,-,-,-,-,-,-,4,0
47,Waqas Maqsood,2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,-,Waqas Maqsood,2019-2019,2,2,7.4,0,68,2,1/25,34.00,8.86,23.0,0,0,0,0
48,SR Watson,2016-2017,15,15,1,365,79,26.07,290,125.86,0,1,0,29,21,SR Watson,2016-2017,15,15,37.0,0,326,11,4/44,29.63,8.81,20.1,1,0,2,0
49,Zafar Gohar,2018-2020,7,4,2,27,13*,13.50,28,96.42,0,0,0,1,1,Zafar Gohar,2018-2020,7,7,24.0,0,166,11,3/25,15.09,6.91,13.0,0,0,1,0
50,Zohaib Khan,2017-2017,1,-,-,-,-,-,-,-,-,-,-,-,-,Zohaib Khan,2017-2017,1,1,1.0,0,13,0,-,-,13.00,-,0,0,1,0
