,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St
47,D Ramdin,2018-2018,4,4,0,24,11,6.00,47,51.06,0,0,1,0,0,D Ramdin,2018-2018,4,-,-,-,-,-,-,-,-,-,-,-,1,0
48,Raza Hasan,2018-2018,2,2,0,4,4,2.00,12,33.33,0,0,1,0,0,Raza Hasan,2018-2018,2,2,5.0,0,47,0,-,-,9.40,-,0,0,0,0
49,JJ Roy,2017-2017,5,5,1,173,60*,43.25,114,151.75,0,2,0,21,6,JJ Roy,2017-2017,5,-,-,-,-,-,-,-,-,-,-,-,1,0
50,Saad Ali,2019-2019,1,1,0,8,8,8.00,9,88.88,0,0,0,0,0,Saad Ali,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,0,0
51,Salman Butt,2019-2020,3,3,0,43,21,14.33,50,86.00,0,0,0,3,0,Salman Butt,2019-2020,3,-,-,-,-,-,-,-,-,-,-,-,0,0
52,Salman Irshad,2018-2020,8,5,1,11,6,2.75,12,91.66,0,0,0,0,1,Salman Irshad,2018-2020,8,8,18.0,0,203,8,4/30,25.37,11.27,13.5,1,0,0,0
53,Shaheen Shah Afridi,2018-2020,24,9,0,15,4,1.66,44,34.09,0,0,2,0,0,Shaheen Shah Afridi,2018-2020,24,24,86.5,2,682,30,5/4,22.73,7.85,17.3,1,1,3,0
54,Sohaib Maqsood,2016-2016,2,2,0,79,57,39.50,71,111.26,0,1,0,5,3,Sohaib Maqsood,2016-2016,2,-,-,-,-,-,-,-,-,-,-,-,0,0
55,Sohail Akhtar,2018-2020,29,27,9,599,75,33.27,466,128.54,0,3,0,52,28,Sohail Akhtar,2018-2020,29,1,0.1,0,0,0,-,-,0.00,-,0,0,8,0
56,Sohail Khan,2018-2018,7,5,1,14,9*,3.50,28,50.00,0,0,2,0,1,Sohail Khan,2018-2018,7,7,25.4,0,226,8,3/34,28.25,8.80,19.2,0,0,1,0
57,Sohail Tanvir,2017-2017,8,6,3,68,36*,22.66,66,103.03,0,0,0,4,2,Sohail Tanvir,2017-2017,8,8,29.5,0,251,10,2/24,25.10,8.41,17.9,0,0,1,0
58,BRM Taylor,2019-2019,4,4,1,17,13,5.66,17,100.00,0,0,0,0,1,BRM Taylor,2019-2019,4,-,-,-,-,-,-,-,-,-,-,-,0,0
59,RN ten Doeschate,2019-2019,1,1,0,2,2,2.00,9,22.22,0,0,0,0,0,RN ten Doeschate,2019-2019,1,1,1.4,0,9,1,1/9,9.00,5.40,10.0,0,0,0,0
60,Umair Masood,2019-2019,1,1,0,22,22,22.00,28,78.57,0,0,0,1,0,Umair Masood,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,0,0
61,Umar Akmal,2016-2018,20,20,3,556,93,32.70,402,138.30,0,5,2,48,26,Umar Akmal,2016-2018,20,-,-,-,-,-,-,-,-,-,-,-,16,0
62,Usman Shinwari,2020-2020,4,2,1,30,30,30.00,15,200.00,0,0,0,0,4,Usman Shinwari,2020-2020,4,4,12.5,0,147,0,-,-,11.45,-,0,0,0,0
63,DJ Vilas,2020-2020,5,3,0,24,19,8.00,23,104.34,0,0,0,3,0,DJ Vilas,2020-2020,5,-,-,-,-,-,-,-,-,-,-,-,4,1
64,GC Viljoen,2019-2019,2,2,1,9,8*,9.00,10,90.00,0,0,0,1,0,GC Viljoen,2019-2019,2,2,5.0,0,43,1,1/30,43.00,8.60,30.0,0,0,1,0
65,MH Wessels,2019-2019,2,2,0,24,20,12.00,21,114.28,0,0,0,3,1,MH Wessels,2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,0,0
66,D Wiese,2019-2020,15,11,5,189,45*,31.50,129,146.51,0,0,0,9,13,D Wiese,2019-2020,15,14,43.0,0,368,12,2/16,30.66,8.55,21.5,0,0,6,0
67,Yasir Shah,2017-2019,23,12,3,44,22,4.88,52,84.61,0,0,2,3,2,Yasir Shah,2017-2019,23,23,83.1,0,580,23,4/7,25.21,6.97,21.6,1,0,2,0
68,Zafar Gohar,2016-2016,6,2,1,1,1,1.00,4,25.00,0,0,0,0,0,Zafar Gohar,2016-2016,6,5,12.2,0,102,7,4/14,14.57,8.27,10.5,1,0,1,0
69,Zia-ul-Haq,2016-2016,3,-,-,-,-,-,-,-,-,-,-,-,-,Zia-ul-Haq,2016-2016,3,3,8.0,0,69,3,2/38,23.00,8.62,16.0,0,0,0,0
70,Zohaib Khan,2016-2016,7,4,3,18,10*,18.00,13,138.46,0,0,1,1,0,Zohaib Khan,2016-2016,7,7,22.0,0,183,3,2/35,61.00,8.31,44.0,0,0,1,0
